id,lat,lon,l3,rooms,bathrooms,surface_total,surface_covered,price,property_type
aFV3EbKUwoX5wKBHFovoog==,-34.5632125,-58.4623386,Belgrano,4.0,4.0,111.0,100.0,490000.0,Departamento
gVSphmU0uLgwQTTH+YJTqw==,-34.5464895,-58.4579248,Nuñez,5.0,2.0,119.0,105.0,480000.0,Departamento
rq+/FQv8SrATVUyNYaXAMg==,-34.6378092,-58.5080361,Villa Luro,6.0,2.0,400.0,320.0,550000.0,Casa
0HuSfFiDndwWsg1IoGJvFg==,-34.5916301,-58.3840292,Recoleta,6.0,4.0,557.0,557.0,4500000.0,Departamento
k6/bVgZpSNpwh7aAgeTGTw==,-34.6190054,-58.4653575,Flores,2.0,1.0,52.0,40.0,68000.0,PH
inn9Tm5HvOudrYj6qGSxDw==,-34.63320541,-58.42053604,Boedo,2.0,2.0,92.0,77.0,118000.0,Casa
a2PlG8V0A8Sxum8EWcB1lg==,-34.64965439,-58.51826477,Liniers,2.0,2.0,130.0,90.0,145000.0,Casa
yCwZZXmYX4TnT824WSfqsg==,-34.55297852,-58.48845291,Saavedra,2.0,1.0,66.0,54.0,139000.0,Casa
hJy8QJIbBlz7Eh5kVXbrtw==,-34.62351608,-58.44692612,Caballito,4.0,4.0,190.0,130.0,350000.0,Casa
5skXIpaT4I7CjlodOGkpwA==,-34.61244202,-58.4465332,Caballito,4.0,1.0,120.0,120.0,360000.0,Casa
yKNgqV4t36avORUVm/z+5A==,-34.5820961,-58.45524979,Chacarita,2.0,1.0,84.0,75.0,175000.0,Casa
wS3BU7F7dQO62e9HHK7CnQ==,-34.64945221,-58.50352859,Mataderos,2.0,1.0,85.0,70.0,165000.0,Casa
+OqgvlFJ82LQPsZ3yiyn6w==,-34.65588379,-58.52304077,Mataderos,2.0,1.0,130.0,69.0,189000.0,Casa
qDwRNcURiVhVjWq5mWMkOw==,-34.63794327,-58.50315475,Villa Luro,4.0,1.0,112.0,88.0,95000.0,Casa
5RaJ2IlBJ4zzAgRNGJ2FNA==,-34.62111282,-58.41063309,San Cristobal,5.0,4.0,290.0,290.0,500000.0,Casa
O29MO97G95L2Tzhz1xhMtQ==,-34.58535385,-58.48752594,Villa Urquiza,1.0,1.0,168.0,106.0,280000.0,Casa
8opZl8VJC0SzIEe9j5oS6w==,-34.63320541,-58.42053604,Parque Chacabuco,2.0,2.0,92.0,77.0,118000.0,Casa
iSK+CeT1ISK0MEdywgjHUw==,-34.60400772,-58.4602356,Villa General Mitre,2.0,1.0,49.0,33.0,95000.0,Casa
GWbmQqHOvcj82mJvj8e2rQ==,-34.63384247,-58.35799026,Boca,2.0,1.0,80.0,80.0,85000.0,Departamento
TGY2ktSBctKY61jeqpKJQw==,-34.62506485,-58.42595673,Boedo,2.0,2.0,80.0,77.0,220000.0,Departamento
O9bf9YnYM+U2wbwGPHoWLg==,-34.60503769,-58.40906525,Abasto,2.0,1.0,78.0,54.0,107000.0,Departamento
ewM1Jz8wk2IFSQrtjAwZbQ==,-34.62708282,-58.46573257,Flores,1.0,1.0,38.0,30.0,67900.0,Departamento
WovibdPnv2fyNKKMXhR2dA==,-34.6262954562,-58.4562949031,Flores,1.0,1.0,27.0,25.0,67000.0,Departamento
2p+QPsLiFshZIqa5CmkIpw==,-34.6335078,-58.4740813,Flores,1.0,1.0,30.0,30.0,76000.0,Departamento
eKV/DTESh1uH50nqhDG2cg==,-34.55102539,-58.46383286,Nuñez,1.0,1.0,57.0,48.0,205000.0,Departamento
